TeamName,ObservationDate,RivalTeam,Attack,Midfield,Defence,TransferBudget,Defensive Style,DefensiveWidth,Depth,Offensive Style,Width,Players In Box,Corners,Free Kicks,Captain,Short Free Kick,Long Free Kick,Penalties,Left Corner,Right Corner,TeamRoster,LoanedPlayers
SC Freiburg,"April 11, 2022",VfB Stuttgart,73,74,76,10500000,Balanced,40,50,Balanced,60,3,3,3,Günter,Grifo,Grifo,Grifo,Grifo,Günter,"['Mark Flekken', 'Lukas Kübler', 'Philipp Lienhart', 'Nico Schlotterbeck', 'Christian Günter', 'Maximilian Eggestein', 'Nicolas Höfler', 'Roland Sallai', 'Vincenzo Grifo', 'Jeong Woo Yeong', 'Lucas Höler', 'Janik Haberer', 'Kevin Schade', 'S. McEleney Keitel', 'Manuel Gulde', 'Benjamin Uphoff', 'Nils Petersen', 'Ermedin Demirović', 'Hugo Siquet', 'Jonathan Schmid', 'Nishan Burkart', 'Keven Schlotterbeck', 'Kimberly Ezekwem', 'Noah Weißhaupt', 'Kiliann Sildillia', 'Noah Atubolu']","['Luca Itter', 'Lino Tempelmann', 'Niclas Thiede']"
Valencia CF,"April 21, 2022",Levante UD,78,76,78,60000000,Balanced,50,50,Balanced,50,4,3,3,Gayà,Carlos Soler,Carlos Soler,Carlos Soler,Carlos Soler,Carlos Soler,"['Giorgi Mamardashvili', 'Dimitri Foulquier', 'Gabriel Paulista', 'Omar AldereteL', 'Gayà', 'Hélder CostaL', 'Carlos Soler', 'Hugo Guillamón Sammartín', 'Bryan GilL', 'Maximiliano Gómez', 'Gonçalo Guedes', 'Uroš Račić', 'Denis Cheryshev', 'Thierry Correia', 'Toni Lato', 'Jasper Cillessen', 'Hugo DuroL', 'Chema Musah', 'Ilaix MoribaL', 'Marcos André', 'Mouctar Diakhaby', 'Eray Cömert', 'Koba Leïn Koindredi', 'Jesús Vázquez', 'Pablo Gozálbez', 'Alessandro Burlamaqui', 'Wadi Ibrahim SuzukiL']","['Manu Vallejo', 'Jorge Sáenz', 'Cristian Rivero Sabater']"
Napoli,"April 25, 2022",Juventus,82,79,76,56000000,Balanced,60,60,Balanced,70,8,3,3,Insigne,Insigne,Insigne,Insigne,Fabián,Politano,"['David Ospina', 'Amir Rrahmani', 'Kalidou Koulibaly', 'Mário Rui', 'André-Franck GiordanaL', 'Fabián', 'Piotr Park Dong Jin', 'Matteo Politano', 'Victor Osimhen', 'Lorenzo Insigne', 'Dries Mertens', 'Hirving Lozano', 'Stanislav Lobotka', 'Eljif Elmas', 'Alex Meret', 'Diego Demme', 'Faouzi Ghoulam', 'Andrea Petagna', 'Kévin Malcuit', 'Axel TuanzebeL', 'Adam Ounas', 'Giovanni Di Lorenzo']","['Arkadiusz Milik', 'Sebastiano Luperto']"
Manchester City,"April 25, 2022",Manchester United,84,87,86,176000000,Pressure On Heavy Touch,70,80,Possession,70,7,3,3,Rúben Dias,De Bruyne,De Bruyne,De Bruyne,Grealish,Foden,"['Ederson', 'Kyle Walker', 'Rúben Dias', 'Aymeric Laporte', 'João Cancelo', 'Rodri', 'Kevin De Bruyne', 'Bernardo Silva', 'Phil Foden', 'Raheem Sterling', 'Jack Grealish', 'Gabriel Jesus', 'Erencan Gündoğan', 'Fernandinho', 'John Stones', 'J.Meza Steffen', 'Riyad Mahrez', 'Nathan Aké', 'Oleksandr Chicote', 'Samuel Edozie', 'Cole Palmer', 'Liam Delap', 'Scott Carson', 'Romeo Lavia', 'Luke Mbete', 'Jayden Braaf', 'Alex Robertson']","['Pedro Porro', 'Julián A. Gaich', 'J. Campos Herrera', 'Ko Itakura', 'Nahuel Bustos', 'Ante Palaversa', 'Arijanet Murić', 'C. Guzmán', 'Gavin Bazunu', 'Taylor Harwood-Bellis', 'Pablo Moreno', 'Ryotaro Meshino']"
Stade Brestois 29,"May 2, 2022",En Avant Guingamp,74,72,73,6500000,Pressure On Heavy Touch,60,50,Balanced,70,7,3,3,Chardonnet,Honorat,Honorat,Honorat,Honorat,Honorat,"['Marco Bizot', 'Ronaël Pierre-GabrielL', 'Brendan Chardonnet', 'Christophe Hérelle', 'Jean-Kévin Duverne', 'Haris Belkebla', 'Julien Faussurier', 'Franck Honorat', 'Steve Mounié', 'Hugo Magnetti', 'Jere Uronen', 'Lilian Brassier', 'Gautier Larsonneur', 'Romain Del Castillo', 'Jérémy Le Douaron', 'Irvin Cardona', ""Hianga'a Mbock"", 'Denys Bain', 'Rafiki Saïd', 'Sébastien Cibois', 'Grégoire Coudert', 'Noé Sow']",['Romain Philippoteaux']
Manchester United,"April 25, 2022",Liverpool,85,83,81,175000000,Pressure On Heavy Touch,40,60,Balanced,70,4,3,3,Maguire,Cristiano Ronaldo,Bruno Fernandes,Cristiano Ronaldo,Bruno Fernandes,Alex Telles,"['De Gea', 'Diogo Dalot', 'Raphaël Varane', 'Harry Maguire', 'Alex Telles', 'Scott McTominay', 'Paul Pogba', 'Bruno Fernandes', 'Marcus Rashford', 'Cristiano Ronaldo', 'Jadon Sancho', 'Edinson Cavani', 'Nemanja Matić', 'Anthony Elanga', 'Victor Lindelöf', 'Dean Henderson', 'Fred', 'Luke Shaw', 'Aaron Wan-Bissaka', 'Jesse Lingard', 'Eric Bailly', 'Juan Mata', 'Phil Jones', 'Tom Heaton', 'Hannibal Mejbri', 'Shola Shoretire', 'Lee Grant', 'Inpyo Iqbal', 'Charlie Savage', 'Björn Hardley', ""D'Mani Mellor"", 'Charlie Wellens']","['Anthony Martial', 'Donny Rösler', 'Brandon Williams', 'Axel Tuanzebe', 'James Garner', 'Tahith Chong', 'Ethan Laird', 'Facundo Pellistri', ""Di'Shon Bernard"", 'Amad Diallo', 'Teden Mengi', 'Dylan Levitt']"
Juventus,"April 21, 2022",Inter,82,81,83,105000000,Balanced,50,40,Balanced,60,3,3,3,Chiellini,Dybala,Dybala,Dybala,Dybala,Dybala,"['Wojciech Szczęsny', 'Juan Cuadrado', 'Matthijs Dani M.', 'Giorgio Chiellini', 'Alex Sandro', 'Denis Chimino', 'Manuel Locatelli', 'Adrien Rabiot', 'Paulo Dybala', 'MorataL', 'Dušan Vlahović', 'Moise KeanL', 'Leonardo Bonucci', 'Mattia De Sciglio', 'Luca Pellegrini', 'Mattia Perin', 'Arthur', 'Weston McKennie', 'Danilo', 'Daniele Rugani', 'Carlo Pinsoglio', 'Federico ChiesaL', 'Federico Bernardeschi']",[]
Empoli,"April 25, 2022",Fiorentina,73,70,69,4500000,Press After Possession Loss,40,70,Balanced,50,7,3,3,Romagnoli,Bajrami,Henderson,Pinamonti,Bajrami,Bajrami,"['Guglielmo VicarioL', 'Petar StojanovićL', 'Mattia Viti', 'Simone Romagnoli', 'Fabiano Parisi', 'Szymon C. LarotondaL', 'Kristjan Asllani', 'Liam Henderson', 'Nedim Bajrami', 'Federico Di Francesco', 'Andrea PinamontiL', 'Andrea La Mantia', 'Valerio VerreL', 'Marco BenassiL', 'Filippo Bandinelli', 'Patrick CutroneL', 'Ardian Ismajli', 'Riccardo FiamozziL', 'Lorenzo Tonelli', 'Leo Danmawia', 'Jacopo Furlan', 'Riccardo MarchizzaL', 'Sebastiano LupertoL', 'Nicolas HaasL', 'Iwo KaczmarskiL', 'Liberato CacaceL']",['Samuele Ricci']
Sassuolo,"April 25, 2022",Bologna,77,76,71,13500000,Pressure On Heavy Touch,50,60,Balanced,60,5,3,3,Berardi,Berardi,Berardi,Berardi,Berardi,Berardi,"['Andrea Consigli', 'Mert Müldür', 'Vlad Chiricheș', 'Gian Marco Ferrari', 'Rogério', 'Davide Frattesi', 'Maxime Lopez', 'Domenico Berardi', 'Hamed Junior Traorè', 'Giacomo Raspadori', 'Gianluca Scamacca', 'Gregoire Defrel', 'Francesco Magnanelli', 'Kaan Ayhan', 'Jeremy Toljan', 'Gianluca Pegolo', 'Abdou HarrouiL', 'Giorgos Kyriakopoulos', 'Pedro Obiang', 'Federico Peluso', 'Giacomo Satalino', 'Nicolás Schiappacasse', 'Filippo Romagna', 'Filip Chay', 'Emil CeïdeL']","['Francesco Caputo', 'Jérémie Boga', 'Martin Erlić', 'Riccardo Marchizza', 'Jens Odgaard', 'Mehdi Bourabia', 'Alessandro Russo']"
FC Barcelona,"April 25, 2022",Real Madrid,83,85,81,130000000,Balanced,60,80,Possession,30,7,3,3,Sergio Busquets,Dembélé, Silva, Silva, Silva, Silva,"['Marc-André Imrân', 'Daniel Alves da Silva', 'Ronald Araujo', 'Piqué', 'Jordi Alba', 'Sergio Busquets', 'Frenkie Rodríguez Serrano', 'Pedri', 'Ousmane Dembélé', 'Pierre-Emerick Aubameyang', 'Ferran Torres', 'Adama TraoréL', 'Eric García', 'Sergiño Dest', 'Neto', 'Memphis Depay', 'Luuk Rodríguez SerranoL', 'Nico González', 'Ansu Fati', 'Steiger', 'Sergi Roberto', 'Clément Lenglet', 'Samuel Umtiti', 'Martin Braithwaite', 'Mingueza', 'Riqui Puig', 'Arnau Tenas']","['Antoine Griezmann', 'Coutinho', 'Miralem Pjanić', 'Trincão', 'Rey Manaj', 'Iñaki Peña', 'Youngeun']"
