id,time,lat,lon,temp,precip,cloudcover,humidity,pressure,sunset,winddir,windgust,windspeed,venue_city,home_country_id
2188,2016-08-13T13:30:00,53.746111,-0.367778,,0.0,,,,,,,,Hull,462
2197,2016-08-13T16:00:00,53.789167,-2.230278,16.7,0.0,58.8,71.61,1021.9,2016-08-13T20:41:42+01:00,283.0,,18.3,Burnley,462
2208,2016-08-13T16:00:00,51.398333,-0.085556,22.2,0.0,38.5,62.28,1022.3,2016-08-13T20:25:42+01:00,243.0,,15.4,London,462
2216,2016-08-13T16:00:00,53.438801,-2.966328,17.9,0.0,76.2,70.61,1023.2,2016-08-13T20:43:30+01:00,284.0,,27.3,Liverpool,462
2225,2016-08-13T16:00:00,54.578333,-1.216944,19.0,0.0,63.9,61.13,1019.7,2016-08-13T20:40:19+01:00,279.0,,26.6,Middlesbrough,462
2234,2016-08-13T16:00:00,50.905833,-1.391111,21.3,0.0,51.3,67.64,1023.1,2016-08-13T20:29:30+01:00,247.0,,20.6,Southampton,462
2244,2016-08-13T18:30:00,53.483176,-2.20038,19.7,0.0,,56.25,,2016-08-13T20:40:35+01:00,192.0,20.3,8.6,Manchester,462
2254,2016-08-14T14:30:00,50.735278,-1.838333,25.2,0.0,,43.76,,2016-08-14T20:28:53+01:00,147.0,12.0,4.4,Bournemouth,462
2263,2016-08-14T17:00:00,51.55505,-0.108046,22.4,0.0,3.6,44.71,1025.1,2016-08-14T20:24:17+01:00,41.0,,12.1,London,462
2277,2016-08-15T21:00:00,51.481579,-0.191094,17.8,0.0,4.9,62.75,1022.8,2016-08-15T20:22:26+01:00,106.0,,13.5,London,462
2286,2016-08-19T21:00:00,53.46315,-2.291444,16.1,0.0,65.9,89.64,1000.3,2016-08-19T20:27:56+01:00,155.0,,15.1,Manchester,462
2295,2016-08-20T13:30:00,52.988419,-2.175398,18.1,0.0,,78.25,,2016-08-20T20:23:59+01:00,251.0,25.6,10.2,Stoke,462
2306,2016-08-20T16:00:00,51.642763,-3.934579,16.6,0.0,13.4,83.12,1004.1,2016-08-20T20:27:36+01:00,249.0,87.4,70.1,Swansea,515
2315,2016-08-20T16:00:00,51.390098,0.021055,18.0,0.0,52.2,66.8,1007.4,2016-08-20T20:11:11+01:00,231.0,53.4,32.5,London,462
2324,2016-08-20T16:00:00,51.649836,-0.401486,17.7,0.0,65.5,71.28,1006.3,2016-08-20T20:13:30+01:00,236.0,52.7,31.8,Watford,462
2334,2016-08-20T16:00:00,52.509068,-1.963892,17.7,0.0,74.6,79.09,1001.7,2016-08-20T20:21:54+01:00,200.0,59.8,29.6,West Bromwich,462
2344,2016-08-20T16:00:00,53.789167,-2.230278,16.9,0.0,57.8,82.53,996.9,2016-08-20T20:26:21+01:00,214.0,52.7,34.1,Burnley,462
2353,2016-08-20T18:30:00,52.620278,-1.142222,16.7,0.0,,77.2,,2016-08-20T20:18:54+01:00,213.0,38.7,24.3,Leicester,462
2362,2016-08-21T14:30:00,54.91443,-1.388159,18.7,0.0,,75.08,,2016-08-21T20:23:48+01:00,318.0,14.0,5.4,Sunderland,462
2373,2016-08-21T17:00:00,51.538736,-0.016552,21.0,0.0,7.7,53.88,1018.9,2016-08-21T20:09:37+01:00,264.0,42.5,23.5,London,462
2382,2016-08-27T13:30:00,51.390098,0.021055,,0.0,,,,,,,,London,462
2391,2016-08-27T16:00:00,51.481579,-0.191094,23.8,0.0,10.6,62.95,1012.9,2016-08-27T19:57:21+01:00,98.0,,19.4,London,462
2400,2016-08-27T16:00:00,51.398333,-0.085556,23.7,0.0,15.9,65.86,1012.8,2016-08-27T19:56:46+01:00,90.0,,15.9,London,462
2411,2016-08-27T16:00:00,53.438801,-2.966328,19.9,0.0,78.2,66.87,1015.0,2016-08-27T20:12:25+01:00,103.0,,12.5,Liverpool,462
2420,2016-08-27T16:00:00,52.620278,-1.142222,17.6,0.0,69.1,82.86,1015.3,2016-08-27T20:03:25+01:00,39.0,,12.7,Leicester,462
2429,2016-08-27T16:00:00,50.905833,-1.391111,21.5,0.0,59.6,80.14,1013.3,2016-08-27T20:01:03+01:00,207.0,,14.4,Southampton,462
2438,2016-08-27T16:00:00,51.649836,-0.401486,24.2,0.0,63.8,61.05,1013.0,2016-08-27T19:58:31+01:00,95.0,,22.0,Watford,462
2449,2016-08-27T18:30:00,53.746111,-0.367778,16.6,0.0,88.0,83.35,,2016-08-27T20:02:42+01:00,156.0,10.9,9.5,Hull,462
2458,2016-08-28T14:30:00,52.509068,-1.963892,21.6,0.0,,73.84,,2016-08-28T20:04:13+01:00,168.0,7.5,2.5,West Bromwich,462
2467,2016-08-28T17:00:00,53.483176,-2.20038,19.1,0.0,18.9,72.56,1013.5,2016-08-28T20:07:07+01:00,333.0,,15.2,Manchester,462
2476,2016-09-10T13:30:00,53.46315,-2.291444,18.3,0.0,,65.08,,2016-09-10T19:36:22+01:00,36.0,3.3,0.5,Manchester,462
2486,2016-09-10T16:00:00,50.735278,-1.838333,17.8,0.0,78.4,93.92,1011.6,2016-09-10T19:31:53+01:00,298.0,50.0,11.5,Bournemouth,462
2496,2016-09-10T16:00:00,51.55505,-0.108046,18.5,0.0,12.8,93.86,1011.4,2016-09-10T19:25:45+01:00,203.0,,16.7,London,462
2505,2016-09-10T16:00:00,53.789167,-2.230278,15.6,0.0,43.4,64.0,1010.6,2016-09-10T19:36:27+01:00,288.0,,6.0,Burnley,462
2515,2016-09-10T16:00:00,54.578333,-1.216944,15.4,0.0,66.4,61.84,1010.2,2016-09-10T19:33:16+01:00,25.0,,8.0,Middlesbrough,462
2525,2016-09-10T16:00:00,52.988419,-2.175398,15.3,0.0,83.8,70.23,1010.9,2016-09-10T19:35:24+01:00,327.0,,6.7,Stoke,462
2535,2016-09-10T16:00:00,51.538736,-0.016552,18.5,0.0,17.0,94.02,1011.5,2016-09-10T19:25:22+01:00,202.0,,17.5,London,462
2545,2016-09-10T18:30:00,53.430622,-2.960919,,0.0,,,,,,,,Liverpool,462
2555,2016-09-11T17:00:00,51.642763,-3.934579,17.9,0.0,5.2,67.22,1013.8,2016-09-11T19:38:49+01:00,163.0,50.4,28.4,Swansea,515
2566,2016-09-12T21:00:00,54.91443,-1.388159,19.3,0.0,77.7,81.97,1009.5,2016-09-12T19:29:13+01:00,167.0,,18.5,Sunderland,462
2578,2016-09-16T21:00:00,51.481579,-0.191094,15.7,0.0,10.4,67.51,1016.5,2016-09-16T19:12:13+01:00,323.0,,18.4,London,462
2589,2016-09-17T16:00:00,53.746111,-0.367778,14.7,0.0,97.1,80.98,1022.4,2016-09-17T19:11:43+01:00,22.0,,14.7,Hull,462
2600,2016-09-17T16:00:00,52.620278,-1.142222,15.5,0.0,100.0,73.34,1022.3,2016-09-17T19:14:15+01:00,3.0,,13.9,Leicester,462
2610,2016-09-17T16:00:00,53.483176,-2.20038,16.9,0.0,26.9,64.46,1023.0,2016-09-17T19:18:54+01:00,350.0,,11.8,Manchester,462
2622,2016-09-17T16:00:00,52.509068,-1.963892,16.6,0.0,78.0,67.77,1022.5,2016-09-17T19:17:29+01:00,349.0,,13.9,West Bromwich,462
2634,2016-09-17T18:30:00,53.438801,-2.966328,15.6,0.0,,67.92,,2016-09-17T19:21:56+01:00,302.0,14.4,4.7,Liverpool,462
2645,2016-09-18T13:00:00,51.649836,-0.401486,17.7,0.0,60.7,71.3,1021.2,2016-09-18T19:08:31+01:00,356.0,,8.8,Watford,462
2656,2016-09-18T15:15:00,51.398333,-0.085556,18.5,0.0,91.2,68.29,,2016-09-18T19:07:10+01:00,327.0,,9.7,London,462
2666,2016-09-18T15:15:00,50.905833,-1.391111,19.2,0.0,51.4,69.32,,2016-09-18T19:12:11+01:00,347.0,9.7,2.6,Southampton,462
2678,2016-09-18T17:30:00,51.390098,0.021055,,0.0,,,,,,,,London,462
2688,2016-09-24T13:30:00,53.46315,-2.291444,19.2,0.0,,69.62,,2016-09-24T19:02:06+01:00,267.0,29.1,15.7,Manchester,462
2698,2016-09-24T16:00:00,50.735278,-1.838333,19.3,0.0,12.9,73.71,1014.7,2016-09-24T19:00:23+01:00,198.0,46.4,20.5,Bournemouth,462
2710,2016-09-24T16:00:00,53.430622,-2.960919,19.4,0.0,72.5,64.22,1008.7,2016-09-24T19:04:47+01:00,164.0,51.8,23.3,Liverpool,462
2721,2016-09-24T16:00:00,54.578333,-1.216944,18.8,0.0,42.7,65.77,1009.4,2016-09-24T18:57:46+01:00,178.0,69.0,36.0,Middlesbrough,462
2732,2016-09-24T16:00:00,52.988419,-2.175398,18.2,0.0,78.1,68.26,1010.6,2016-09-24T19:01:39+01:00,190.0,50.1,26.7,Stoke,462
2744,2016-09-24T16:00:00,54.91443,-1.388159,18.0,0.0,74.4,68.9,1008.0,2016-09-24T18:58:27+01:00,185.0,69.3,26.3,Sunderland,462
